lambda,selected_data_weight,C,macro_auc_mean,macro_auc_std,fold_count,micro_auc_mean,micro_auc_std,mean_selected_count,macro_auc_se,micro_auc_se,complete_cv
0.001,1.0,0.01,0.9832874103712755,0.0016288137667276289,3,0.9844510491640536,0.0018363692448690187,56.666666666666664,0.0009403960666799649,0.0010602282778566779,True
0.001,0.1,0.01,0.9832160461117128,0.0016611562779525531,3,0.9843678800783661,0.001899288639094558,56.666666666666664,0.0009590690242419434,0.001096554807050041,True
0.01,1.0,0.01,0.9832134267991085,0.0016528559010043206,3,0.9843502958368738,0.0019050082049868347,20.666666666666668,0.000954276799376506,0.0010998569999575948,True
0.005,1.0,0.01,0.9831849616557354,0.0017177496995764185,3,0.9843295605593121,0.001950102680324604,30.0,0.000991743251450844,0.0011258923074328208,True
0.005,0.1,0.01,0.9831782937155239,0.0016881970834589468,3,0.9843291912684372,0.0019285489700162,30.0,0.0009746810405801641,0.0011134482669842285,True
0.01,0.1,0.01,0.983173094526017,0.0016948757411390134,3,0.9843202233068963,0.0019363641249811848,20.666666666666668,0.000978536965389576,0.0011179603488070213,True
0.001,0.01,0.01,0.9831682405332476,0.0016947836432486061,3,0.9843227436315986,0.001936508239711227,56.666666666666664,0.0009784837926477576,0.0011180435534852054,True
0.005,0.01,0.01,0.9831641145266318,0.0017043135982024976,3,0.9843147362584644,0.0019433976324154832,30.0,0.0009839859147057516,0.0011220211462175606,True
0.01,0.01,0.01,0.9831604523806585,0.001707275693357561,3,0.984313611906389,0.0019451811395828226,20.666666666666668,0.000985696081140893,0.0011230508545607256,True
0.025,0.01,0.01,0.9831598483939783,0.001703639216866659,3,0.984311931479858,0.0019429457374177915,11.666666666666666,0.0009835965604599688,0.001121760244518998,True
0.025,0.1,0.01,0.9831592881873238,0.0017086823433810356,3,0.9843126814860397,0.0019430323157247457,11.666666666666666,0.0009865082109106016,0.001121810230527824,True
0.025,1.0,0.01,0.9831588222168041,0.001710838069495769,3,0.9843078630998677,0.0019343170285405042,11.666666666666666,0.000987752819963242,0.0011167784571259373,True
0.001,1.0,0.001,0.9823102177088416,0.002278358066723642,3,0.9832520193703435,0.002460981110797817,48.666666666666664,0.0013154106431332501,0.001420848106789704,True
0.005,1.0,0.001,0.9822783335037757,0.00231119007284558,3,0.9831934392412451,0.0024989478863458804,23.666666666666668,0.0013343662107057866,0.0014427682348726405,True
0.001,0.1,0.001,0.982237926570703,0.002376245290574588,3,0.9831476155911513,0.002565226701809085,48.666666666666664,0.001371925858173819,0.0014810343268218912,True
